Data,Anomalia rispetto alla media,
2023-01-01,-2.357,0
2023-01-02,-2.373,0
2023-01-03,-2.343,0
2023-01-04,-2.314,0
2023-01-05,-2.289,0
2023-01-06,-2.242,0
2023-01-07,-2.208,0
2023-01-08,-2.175,0
2023-01-09,-2.136,0
2023-01-10,-2.082,0
2023-01-11,-2.027,0
2023-01-12,-1.972,0
2023-01-13,-1.916,0
2023-01-14,-1.825,0
2023-01-15,-1.768,0
2023-01-16,-1.727,0
2023-01-17,-1.688,0
2023-01-18,-1.654,0
2023-01-19,-1.623,0
2023-01-20,-1.598,0
2023-01-21,-1.563,0
2023-01-22,-1.524,0
2023-01-23,-1.490,0
2023-01-24,-1.470,0
2023-01-25,-1.445,0
2023-01-26,-1.434,0
2023-01-27,-1.438,0
2023-01-28,-1.451,0
2023-01-29,-1.443,0
2023-01-30,-1.445,0
2023-01-31,-1.436,0
2023-02-01,-1.411,0
2023-02-02,-1.374,0
2023-02-03,-1.352,0
2023-02-04,-1.329,0
2023-02-05,-1.310,0
2023-02-06,-1.287,0
2023-02-07,-1.269,0
2023-02-08,-1.250,0
2023-02-09,-1.220,0
2023-02-10,-1.203,0
2023-02-11,-1.183,0
2023-02-12,-1.171,0
2023-02-13,-1.158,0
2023-02-14,-1.142,0
2023-02-15,-1.123,0
2023-02-16,-1.093,0
2023-02-17,-1.085,0
2023-02-18,-1.082,0
2023-02-19,-1.088,0
2023-02-20,-1.086,0
2023-02-21,-1.104,0
2023-02-22,-1.093,0
2023-02-23,-1.083,0
2023-02-24,-1.072,0
2023-02-25,-1.075,0
2023-02-26,-1.081,0
2023-02-27,-1.088,0
2023-02-28,-1.104,0
2023-03-01,-1.121,0
2023-03-02,-1.135,0
2023-03-03,-1.161,0
2023-03-04,-1.195,0
2023-03-05,-1.223,0
2023-03-06,-1.243,0
2023-03-07,-1.253,0
2023-03-08,-1.238,0
2023-03-09,-1.201,0
2023-03-10,-1.179,0
2023-03-11,-1.184,0
2023-03-12,-1.191,0
2023-03-13,-1.205,0
2023-03-14,-1.245,0
2023-03-15,-1.264,0
2023-03-16,-1.279,0
2023-03-17,-1.301,0
2023-03-18,-1.322,0
2023-03-19,-1.337,0
2023-03-20,-1.354,0
2023-03-21,-1.378,0
2023-03-22,-1.377,0
2023-03-23,-1.357,0
2023-03-24,-1.318,0
2023-03-25,-1.267,0
2023-03-26,-1.197,0
2023-03-27,-1.155,0
2023-03-28,-1.129,0
2023-03-29,-1.125,0
2023-03-30,-1.129,0
2023-03-31,-1.134,0
2023-04-01,-1.116,0
2023-04-02,-1.093,0
2023-04-03,-1.075,0
2023-04-04,-1.070,0
2023-04-05,-1.073,0
